"code","name","portfolio_lvr","standard_lvr","single_lvr"
"AUI","AUSTRALIAN UNITED INVESTMENT COMPANY LIMITED","70","65","60"
"DDR","DICKER DATA LIMITED","60","55","50"
"AUMF","ISHARES EDGE MSCI AUSTRALIA MULTIFACTOR ETF","80","75","70"
"DGL","DGL GROUP LIMITED","40","0","0"
"AX1","ACCENT GROUP LIMITED","50","45","40"
"DGT","DIGICO INFRASTRUCTURE REIT","50","45","40"
"AZJ","AURIZON HOLDINGS LIMITED","75","70","65"
"DHG","DOMAIN HOLDINGS AUSTRALIA LIMITED","60","55","50"
"BAP","BAPCOR LIMITED","50","45","40"
"DHHF","BETASHARES DIVERSIFIED ALL GROWTH ETF","70","65","60"
"BBN","BABY BUNTING GROUP LIMITED","45","40","35"
"DJRE","SPDR DOW JONES GLOBAL REAL ESTATE ESG FUND","65","60","55"
"BCI","BCI MINERALS LIMITED","40","0","0"
"DJW","DJERRIWARRH INVESTMENTS LIMITED","70","65","60"
"S","PIZZA ENTERPRISES LIMITED","60","55","50"
"BEN","BENDIGO AND ADELAIDE BANK LIMITED","70","65","60"
"DOW","DOWNER EDI LIMITED","55","50","45"
"BENPH","BENDIGO AND ADELAIDE BANK LIMITED","70","65","60"
"DRIV","BETASHARES ELECTRIC VEHICLES AND FTR MOBILITY ETF","70","65","60"
"BENPI","BENDIGO AND ADELAIDE BANK LIMITED","70","65","60"
"DRR","DETERRA ROYALTIES LIMITED","65","60","55"
"BFG","BELL FINANCIAL GROUP LIMITED","40","0","0"
"CURRENCY","HEDGED","70","65","60"
"BGA","BEGA CHEESE LIMITED","50","45","40"
"3","LIMITED","50","45","40"
"BGBL","BETASHARES GLOBAL SHARES ETF","75","70","65"
"DUI","DIVERSIFIED UNITED INVESTMENT LIMITED","70","65","60"
"BGL","BELLEVUE GOLD LIMITED","40","0","0"
"DVDY","VANECK MORNINGSTAR AUSTRALIAN MOAT INCOME ETF","70","65","60"
"BHP","BHP GROUP LIMITED","80","75","70"
"DXC","DEXUS CONVENIENCE RETAIL REIT","50","45","40"
"BHYB","BETASHARES AUSTRALIAN MAJOR BANK HYBRIDS INDEX ETF","75","70","65"
"BKI","BKI INVESTMENT COMPANY LIMITED","70","65","60"
"DXS","DEXUS","65","60","55"
"BKW","BRICKWORKS LIMITED","70","65","60"
"DZZF","BETASHARES ETHICAL DIVERSIFIED HIGH GROWTH ETF","70","65","60"
"Name","EDV
ENDEAVOUR GROUP LIMITED","70","65","60"
"IKO","ISHARES MSCI SOUTH KOREA ETF","65","60","55"
"EHL","EMECO HOLDINGS LIMITED","40","35","30"
