code,name,portfolio_lvr,standard_lvr,single_lvr
CLW,CHARTER HALL LONG WALE REIT,65,60,55
CMM,CAPRICORN METALS LTD,45,40,35
CMW,CROMWELL PROPERTY GROUP,60,55,50
CNEW,VANECK CHINA NEW ECONOMY ETF,55,50,45
CNI,CENTURIA CAPITAL GROUP,60,55,50
CNU,CHORUS LIMITED,65,60,55
COF,CENTURIA OFFICE REIT,55,50,45
COH,COCHLEAR LIMITED,75,70,65
COL,COLES GROUP LIMITED,80,75,70
CPU,COMPUTERSHARE LIMITED,70,65,60
CQE,CHARTER HALL SOCIAL INFRASTRUCTURE REIT,60,55,50
CQR,CHARTER HALL RETAIL REIT,70,65,60
CRED,BETASHARES AUSTRALIAN INVESTMENT GRADE CORPORATE BOND,70,65,60
CRN,CORONADO GLOBAL RESOURCES INC,45,40,35
CSL,CSL LIMITED ,80,75,70
CTD,CORPORATE TRAVEL MANAGEMENT LIMITED,65,60,55
CURE,GLOBAL X S&P BIOTECH ETF,60,55,50
CUV,CLINUVEL PHARMACEUTICALS LIMITED,50,45,40
CWP,CEDAR WOODS PROPERTIES LIMITED,40,0,0
CWY,CLEANAWAY WASTE MANAGEMENT LIMITED,65,60,55
DBI,DARLRYMPLE BAY INFRASTRUCTURE LIMITED ,40,0,0
DDR,DICKER DATA LIMITED,60,55,50
DGL,DGL GROUP LIMITED,40,0,0
DGT,DIGICO INFRASTRUCTURE REIT,50,45,40
DHG,DOMAIN HOLDINGS AUSTRALIA LIMITED,60,55,50
DHHF,BETASHARES DIVERSIFIED ALL GROWTH ETF,70,65,60
DJRE,SPDR DOW JONES GLOBAL REAL ESTATE ESG FUND,65,60,55
DJW,DJERRIWARRH INVESTMENTS LIMITED,70,65,60
DMP,DOMINO’S PIZZA ENTERPRISES LIMITED,60,55,50
DOW,DOWNER EDI LIMITED,55,50,45
DRIV,BETASHARES ELECTRIC VEHICLES AND FTR MOBILITY ETF,70,65,60
DRR,DETERRA ROYALTIES LIMITED,65,60,55
DRUG,BETASHARES GLOBAL HEALTHCARE ETF - CURRENCY HEDGED,70,65,60
DTL,DATA#3 LIMITED,50,45,40
DUI,DIVERSIFIED UNITED INVESTMENT LIMITED,70,65,60
DVDY,VANECK MORNINGSTAR AUSTRALIAN MOAT INCOME ETF ,70,65,60
DXC,DEXUS CONVENIENCE RETAIL REIT,50,45,40
DXI,DEXUS INDUSTRIA REIT,65,60,55
DXS,DEXUS,65,60,55
DZZF,BETASHARES ETHICAL DIVERSIFIED HIGH GROWTH ETF,70,65,60
EDV,ENDEAVOUR GROUP LIMITED,70,65,60
EHL,EMECO HOLDINGS LIMITED,40,35,30
ELD,ELDERS LIMITED,60,55,50
EMR,EMERALD RESOURCES NL,50,45,40
EQT,EQT HOLDINGS LIMITED,50,45,40
ERTH,BETASHARES CLIMATE CHANGE INNOVATION ETF ,65,60,55
ESGI,VANECK MSCI INTERNATIONAL SUSTAINABLE EQUITY ETF,75,70,65
ESPO,VANECK VIDEO GAMING AND ESPORTS ETF,70,65,60
ESTX,GLOBAL X EURO STOXX 50 ETF,75,70,65
ETHI,BETASHARES GLOBAL SUSTAINABILITY LEADERS ETF,75,70,65
ETPMAG,GLOBAL X PHYSICAL SILVER A,65,60,55
ETPMPT,GLOBAL X PHYSICAL PLATINUM A,55,50,45
EVN,EVOLUTION MINING LIMITED,70,65,60
EVT,EVT LIMITED,65,60,55
EX20,BETASHARES AUSTRALIAN EX-20 PORTFOLIO DIVERSIFIER ETF,80,75,70
F100,BETASHARES FTSE 100 ETF,70,65,60
FAIR,BETASHARES AUSTRALIAN SUSTAINABILITY LEADERS ETF,80,75,70
FANG,GLOBAL X FANG+ ETF,65,60,55
FBU,FLETCHER BUILDING LIMITED,45,40,35
FEMX,FIDELITY GLOBAL EMERGING MARKETS ACTIVE ETF,70,65,60
FEX,FENIX RESOURCES LTD,40,0,0
FGG,FUTURE GENERATION GLOBAL LIMITED,65,60,55
FGX,FUTURE GENERATION AUSTRALIA LIMITED,70,65,60
FLT,FLIGHT CENTRE TRAVEL GROUP LIMITED,70,65,60
FMG,FORTESCUE LTD,65,60,55
FOOD,BETASHARES GLOBAL AGRICULTURE ETF - CURRENCY HEDGED,65,60,55
FPH,FISHER & PAYKEL HEALTHCARE CORPORATION LIMITED,65,60,55
FUEL ,BETASHARES GLOBAL ENERGY COMPANIES ETF - CURRENCY HEDGED,70,65,60
FWD,FLEETWOOD LIMITED,40,35,30
GDI,GDI PROPERTY GROUP,45,40,35
GDX,VANECK GOLD MINERS ETF,70,65,60
GEM,G8 EDUCATION LIMITED,50,45,40
GGOV,BETASHARES US TREASURY BOND 20+YR ETF - CCY HEDGED,80,75,70
GMD,GENESIS MINERALS LIMITED,45,40,35
GMG,GOODMAN GROUP,75,70,65
GNC,GRAINCORP LIMITED,60,55,50
GNE,GENESIS ENERGY LIMITED,45,40,35
GOAT,VANECK MORNINGSTAR INTERNATIONAL WIDE MOAT ETF,70,65,60
GOLD,GLOBAL X PHYSICAL GOLD,80,75,70
GOR,GOLD ROAD RESOURCES LIMITED,50,45,40
GOZ,GROWTHPOINT PROPERTIES AUSTRALIA,65,60,55
GPT,GPT GROUP,70,65,60
GQG,GQG PARTNERS INC ,65,60,55
GRNV,VANECK MSCI AUSTRALIAN SUSTAINABLE EQUITY ETF,80,75,70
GRR,GRANGE RESOURCES LIMITED,40,0,0
GVF,STAUDE CAPITAL GLOBAL VALUE FUND LIMITED,50,45,40
GWA,GWA GROUP LIMITED,55,50,45
GYG,GUZMAN Y GOMEZ LIMITED,50,45,40
HACK,BETASHARES GLOBAL CYBERSECURITY ETF,70,65,60
HBRD,BETASHARES ACTIVE AUSTRALIAN HYBRIDS FUND (MANAGED FUND),80,75,70
HCW,HEALTHCO HEALTHCARE AND WELLNESS REIT,45,40,35
HDN,HOMECO DAILY NEEDS REIT,65,60,55
HETH,BETASHARES GLOBAL SUSTAINABILITY LEADERS ETF - CH,75,70,65
HGEN,GLOBAL X HYDROGEN ETF,55,50,45
HLI,HELIA GROUP LIMITED,40,0,0
HLS ,HEALIUS LIMITED,40,0,0
HLTH ,VANECK GLOBAL HEALTHCARE LEADERS ETF,70,65,60
HM1,HEARTS AND MINDS INVESTMENTS LIMITED,65,60,55
HMC,HMC CAPITAL LIMITED,60,55,50
HNDQ,BETASHARES NASDAQ 100 CURRENCY HEDGED ETF,75,70,65
HPG,HIPAGES GROUP HOLDINGS LTD,40,0,0
HPI,HOTEL PROPERTY INVESTMENTS,45,40,35
HSN,HANSEN TECHNOLOGIES LIMITED,50,45,40
HUB,HUB24 LIMITED,50,45,40
HVN,HARVEY NORMAN HOLDINGS LIMITED,70,65,60
HVST,BETASHARES AUSTRALIAN DIVIDEND HARVESTER FUND (MANAGED),75,70,65
HYGG,HYPERION GBL GROWTH COMPANIES FUND (MANAGED FUND),75,70,65
IAA,ISHARES ASIA 50 ETF,70,65,60
IAF,ISHARES CORE COMPOSITE BOND ETF,80,75,70
IAG,INSURANCE AUSTRALIA GROUP LIMITED,80,75,70
IAGPE,INSURANCE AUSTRALIA GROUP LIMITED,80,75,70
IAGPF,INSURANCE AUSTRALIA GROUP LIMITED,80,75,70
IDX,INTEGRAL DIAGNOSTICS LIMITED,45,40,35
IEL,IDP EDUCATION LIMITED,60,55,50
IEM,ISHARES MSCI EMERGING MARKETS ETF,75,70,65
IEU,ISHARES EUROPE ETF,75,70,65
IFL,INSIGNIA FINANCIAL LTD,60,55,50
IFM,INFOMEDIA LTD,50,45,40
IFRA,VANECK FTSE GLOBAL INFRASTRUCTURE (AUD HEDGED) ETF,70,65,60
IGO,IGO LIMITED,65,60,55
IHD,ISHARES S&P/ASX DIV OPPORTUNITIES ESG SCREENED ETF,80,75,70
IHOO,ISHARES GLOBAL 100 AUD HEDGED ETF,75,70,65
IHVV,ISHARES S&P500 AUD HEDGED ETF,80,75,70
IHWL,ISHARES CORE MSCI WORLD EX AUS ESG (AUD HED) ETF,70,65,60
IIGF,INTELLIGENT INVESTOR AUS EQUITY GROWTH FUND (MANAGED),60,55,50
IIND,BETASHARES INDIA QUALITY ETF,65,60,55
IJH,ISHARES S&P MID-CAP ETF,75,70,65
IJP,ISHARES MSCI JAPAN ETF,80,75,70
IJR,ISHARES S&P SMALL-CAP ETF,75,70,65
IKO,ISHARES MSCI SOUTH KOREA ETF,65,60,55
ILB,ISHARES GOVERNMENT INFLATION ETF,75,70,65
ILC,ISHARES S&P/ASX20 ETF,80,75,70
ILU,ILUKA RESOURCES LIMITED,70,65,60
IMA,IMAGE RESOURCES NL,40,0,0
IMD,IMDEX LIMITED,50,45,40
INA,INGENIA COMMUNITIES GROUP,60,55,50
INCM,BETASHARES GLOBAL INCOME LEADERS ETF,65,60,55
INES,INTELLIGENT INVESTOR ETHICAL SHARE FUND (MANAGED),65,60,55
ING,INGHAMS GROUP LIMITRD,60,55,50
INIF,INTELLIGENT INVESTOR AUS EQUITY INCOME FUND (MANAGED),65,60,55
IOO,ISHARES GLOBAL 100 ETF,75,70,65
IOZ,ISHARES CORE S&P/ASX200 ETF,80,75,70
IPH,IPH LIMITED,60,55,50
IPL,INCITEC PIVOT LIMITED,70,65,60
IRE,IRESS LIMITED,65,60,55
IRI,INTEGRATED RESEARCH LIMITED,40,0,0
ISEC,ISHARES ENHANCED CASH ETF,80,75,70
ISO,ISHARES S&P/ASX SMALL ORDINARIES ETF,70,65,60
IVE,ISHARES MSCI EAFE ETF,80,75,70
IVV,ISHARES S&P 500 ETF,80,75,70
IWLD,ISHARES CORE MSCI WORLD EX AUSTRALIA ESG ETF,75,70,65
IXI,ISHARES GLOBAL CONSUMER STAPLES ETF,70,65,60
IXJ,ISHARSS GLOBAL HEALTHCARE ETF,70,65,60
IZZ,ISHARES CHINA LARGE-CAP ETF,65,60,55
JBH,JB HI-FI LIMITED,75,70,65
JDO,JUDO CAPITAL HOLDINGS LIMITED,50,45,40
JHX,JAMES HARDIE INDUSTRIES PLC,70,65,60
JIN,JUMBO INTERACTIVE LIMITED,50,45,40
JLG,JOHNS LYNG GROUP LIMITED,50,45,40
JMS,JUPITER MINES LIMITED,40,0,0
KAR,KAROON ENERGY LTD,45,40,35
KGN,KOGAN.COM LTD,45,40,35
KLS,KELSIAN GROUP LIMITED,60,55,50
KMD,KMD BRANDS LIMITED,45,40,35
KSL,KINA SECURITIES LIMITED,40,35,30
LIC,LIFESTYLE COMMUNITIES LIMITED,50,45,40
LLC,LENDLEASE GROUP,65,60,55
LOV,LOVISA HOLDINGS LIMITED,50,45,40
LPGD,LOFTUS PEAK GLOBAL DISRUPTION FUND (MANAGED),65,60,55
LSF,L1 LONG SHORT FUND LIMITED,60,55,50
LTR,LIONTOWN RESOURCES LIMITED,40,0,0
LYC,LYNAS RARE EARTHS LIMITED,55,50,45
MAET,MUNRO GLOBAL GROWHT FUND COMPLEX ETF,55,50,45
MAH,MACMAHON HOLDINGS LIMITED,40,0,0
MAQ,MACQUARIE TECHNOLOGY GROUP LIMITED,40,35,30
MBLPC ,MACQUARIE BANK LIMITED,80,75,70
MBLPD,MACQUARIE BANK LIMITED,80,75,70
MCY,MERCURY NZ LIMITED,40,0,0
MEZ,MERIDIAN ENERGY LIMITED,50,45,40
MFF,MFF CAPITAL INVESTMENT LIMITED,75,70,65
MFG,MAGELLAN FINANCIAL GROUP LIMITED,55,50,45
MGH,MAAS GROUP HOLDINGS LIMITED,45,40,35
MGOC,MAGELLAN GLOBAL FUND (OPEN CLASS) (MANAGED),75,70,65
MGR,MIRVAC GROUP,70,65,60
MGX,MOUNT GIBSON IRON LIMITED,40,35,30
MHHT,MAGELLAN HIGH CONVICTION TRUST (MANAGED),65,60,55
MICH,MAGELLAN INFRASTRUCTURE FUND (CURRENCY HEDGED) (MANAGED),75,70,65
MIN,MINERAL RESOURCES LIMITED,60,55,50
MIR,MIRRABOOKA INVESTMENTS LIMITED,60,55,50
MLX,METALS X LIMITED,40,0,0
MMS,MCMILLAN SHAKESPEARE LIMITED,65,60,55
MND,MONADELPHOUS GROUP LIMITED,65,60,55
MNRS,BETASHARES GLOBAL GOLD MINERS ETF - CURRENCY,65,60,55
MOAT,VANECK MORNINGSTAR WIDE MOAT ETF,75,70,65
MOGL,MONTAKA GBL LONG ONLY EQUITIES FUND (MANAGED),65,60,55
MOT,METRICS INCOME OPPORTUNITIES TRUST,45,40,35
MPL,MEDIBANK PRIVATE LIMITED,70,65,60
MQG,MACQUARIE GROUP LIMITED,80,75,70
MQGPD,MACQUARIE GROUP LIMITED,80,75,70
MQGPE,MACQUARIE GROUP LIMITED,80,75,70
